good_percent,seed,group,jaccard,intersection,union,total_isolated_run1,total_isolated_run2,num_tensors,num_elements_compared
0.05,42,layers.8,0.27181947145970137,278793,1025655,681616,622832,7,60817408
0.05,42,layers.9,0.2563882190837065,297718,1161200,738627,720291,7,60817408
0.05,42,layers.10,0.235498649794441,264416,1122792,674540,712668,7,60817408
0.05,42,layers.11,0.22061749658949953,267322,1211699,706519,772502,7,60817408
0.05,42,layers.12,0.24241348089809853,324237,1337537,773339,888435,7,60817408
0.05,42,layers.13,0.30000502876233415,411639,1372107,827018,956728,7,60817408
0.05,42,layers.14,0.2586553775869745,338120,1307222,765326,880016,7,60817408
0.05,42,layers.15,0.2675870987511331,293413,1096514,635458,754469,7,60817408
0.075,42,layers.0,0.22180855551805603,294434,1327424,718935,902923,7,60817408
0.075,42,layers.1,0.286492251904786,442120,1543218,925481,1059857,7,60817408
0.075,42,layers.2,0.27368673509848673,398261,1455171,868938,984494,7,60817408
0.075,42,layers.3,0.2606943397784637,378798,1453035,910634,921199,7,60817408
0.075,42,layers.4,0.25453788397547883,359450,1412167,878079,893538,7,60817408
0.075,42,layers.5,0.2463722028126179,340886,1383622,882957,841551,7,60817408
0.075,42,layers.6,0.25316289547099924,333673,1318017,855137,796553,7,60817408
0.075,42,layers.7,0.24848797039297574,318862,1283209,833814,768257,7,60817408
0.075,42,layers.8,0.24291952399516836,304075,1251752,805111,750716,7,60817408
0.075,42,layers.9,0.2172661416991926,289513,1332527,823302,798738,7,60817408
0.075,42,layers.10,0.2729162749836775,399196,1462705,921309,940592,7,60817408
0.075,42,layers.11,0.25738985195127023,424397,1648849,1018792,1054454,7,60817408
0.075,42,layers.12,0.2607159725375396,457057,1753084,1037862,1172279,7,60817408
0.075,42,layers.13,0.29123072030529495,512834,1760920,1059948,1213806,7,60817408
0.075,42,layers.14,0.2813757673547358,485488,1725408,1037386,1173510,7,60817408
0.075,42,layers.15,0.2906320280701399,458631,1578047,939066,1097612,7,60817408
0.1,42,layers.0,0.23997305413563527,371904,1549774,858109,1063569,7,60817408
0.1,42,layers.1,0.31382223620500466,572558,1824466,1153817,1243207,7,60817408
0.1,42,layers.2,0.27507894861348087,459315,1669757,1001407,1127665,7,60817408
0.1,42,layers.3,0.31977057207071363,548199,1714351,1098985,1163565,7,60817408
0.1,42,layers.4,0.31174946784450047,557558,1788481,1179739,1166300,7,60817408
0.1,42,layers.5,0.2976224283360636,507251,1704344,1126485,1085110,7,60817408
0.1,42,layers.6,0.29850166724101945,492000,1648232,1089687,1050545,7,60817408
0.1,42,layers.7,0.28828578513920394,444076,1540402,1000309,984169,7,60817408
0.1,42,layers.8,0.289849049331963,451237,1556800,1035941,972096,7,60817408
0.1,42,layers.9,0.23299978536984955,378870,1626053,1027036,977887,7,60817408
0.1,42,layers.10,0.21671132505430654,341788,1577158,931010,987936,7,60817408
0.1,42,layers.11,0.21411678909954646,373467,1744221,1026157,1091531,7,60817408
0.1,42,layers.12,0.21535512392878872,422634,1962498,1134546,1250586,7,60817408
0.1,42,layers.13,0.25843580765462293,510381,1974885,1150443,1334823,7,60817408
0.1,42,layers.14,0.2761438558916819,568858,2060006,1242408,1386456,7,60817408
0.1,42,layers.15,0.27923087641370936,527048,1887499,1122038,1292509,7,60817408
0.125,42,layers.0,0.2679431455701442,456368,1703227,916489,1243106,7,60817408
0.125,42,layers.1,0.24839225125391443,440857,1774842,1038693,1177006,7,60817408
0.125,42,layers.2,0.26695096428077014,522576,1957573,1173857,1306292,7,60817408
0.125,42,layers.3,0.319509419296501,573837,1795994,1166595,1203236,7,60817408
0.125,42,layers.4,0.3328291814475635,628708,1888981,1240864,1276825,7,60817408
0.125,42,layers.5,0.33708187506546405,653294,1938087,1300974,1290407,7,60817408
0.125,42,layers.6,0.34325451117030914,668621,1947887,1314845,1301663,7,60817408
0.125,42,layers.7,0.3245345301990175,613675,1890939,1257673,1246941,7,60817408
0.125,42,layers.8,0.3202383223596642,577423,1803104,1204657,1175870,7,60817408
0.125,42,layers.9,0.27625647635601525,512887,1856561,1173501,1195947,7,60817408
0.125,42,layers.10,0.23419128113111515,434363,1854736,1140051,1149048,7,60817408
0.125,42,layers.11,0.23050450711905393,459079,1991627,1194121,1256585,7,60817408
0.125,42,layers.12,0.23227744765308603,502765,2164502,1237777,1429490,7,60817408
0.125,42,layers.13,0.2590223492774377,582060,2247142,1337234,1491968,7,60817408
0.125,42,layers.14,0.2439427703919855,552918,2266589,1339019,1480488,7,60817408
0.125,42,layers.15,0.2674743739915419,568589,2125770,1257812,1436547,7,60817408
0.15,42,layers.0,0.2893174176754741,554846,1917776,1049895,1422727,7,60817408
0.15,42,layers.1,0.23525682366079664,452704,1924297,1147616,1229385,7,60817408
0.15,42,layers.2,0.32205192789333004,745680,2315403,1502643,1558440,7,60817408
0.15,42,layers.3,0.2403289279822868,436340,1815595,1109398,1142537,7,60817408
0.15,42,layers.4,0.26390651017363204,494019,1871947,1182675,1183291,7,60817408
0.15,42,layers.5,0.325508873589291,652075,2003248,1342535,1312788,7,60817408
0.15,42,layers.6,0.34723634125546937,702964,2024454,1374476,1352942,7,60817408
0.15,42,layers.7,0.352827593080855,750453,2126968,1436906,1440515,7,60817408
0.15,42,layers.8,0.3583122839175012,769414,2147328,1467287,1449455,7,60817408
0.15,42,layers.9,0.3021570134328302,640087,2118392,1357735,1400744,7,60817408
0.15,42,layers.10,0.2717169242431905,553417,2036741,1256598,1333560,7,60817408
0.15,42,layers.11,0.25397852127332654,559519,2203017,1349210,1413326,7,60817408
0.15,42,layers.12,0.25589950333175276,622246,2431603,1447148,1606701,7,60817408
0.15,42,layers.13,0.2591776390842862,615677,2375502,1403492,1587687,7,60817408
0.15,42,layers.14,0.25860503517991934,643978,2490199,1499123,1635054,7,60817408
0.15,42,layers.15,0.2705280545414374,642822,2376175,1423225,1595772,7,60817408
